Minggu;Facebook;YouTube;Instagram;WhatsApp;TikTok
2023-05-14;9;24;11;63;20
2023-05-21;8;30;12;66;20
2023-05-28;10;24;12;59;17
2023-06-04;9;25;9;68;15
2023-06-11;6;24;15;59;16
2023-06-18;0;25;12;57;13
2023-06-25;9;13;8;39;11
2023-07-02;0;13;9;44;10
2023-07-09;9;15;10;57;11
2023-07-16;7;22;13;41;15
2023-07-23;9;24;9;56;16
2023-07-30;7;23;17;62;22
2023-08-06;10;29;11;76;26
2023-08-13;11;54;13;83;20
2023-08-20;8;24;9;62;19
2023-08-27;13;27;11;79;23
2023-09-03;11;32;12;64;31
2023-09-10;10;26;13;69;22
2023-09-17;11;32;12;73;28
2023-09-24;9;30;10;63;26
2023-10-01;16;40;13;88;29
2023-10-08;10;23;7;67;25
2023-10-15;11;35;14;75;15
2023-10-22;9;46;11;78;17
2023-10-29;8;32;14;64;18
2023-11-05;9;35;8;69;17
2023-11-12;16;24;11;64;17
2023-11-19;15;36;9;86;23
2023-11-26;9;28;12;69;15
2023-12-03;9;18;7;59;16
2023-12-10;9;22;0;59;11
2023-12-17;10;17;6;58;7
2023-12-24;10;16;0;56;9
2023-12-31;9;22;9;52;13
2024-01-07;14;21;8;47;18
2024-01-14;10;20;10;48;16
2024-01-21;11;25;7;54;13
2024-01-28;10;27;10;62;14
2024-02-04;9;32;0;53;13
2024-02-11;0;28;0;56;8
2024-02-18;0;26;7;53;22
2024-02-25;8;27;0;57;13
2024-03-03;9;27;9;57;16
2024-03-10;0;18;0;49;0
2024-03-17;8;29;8;51;8
2024-03-24;0;19;0;41;12
2024-03-31;0;28;8;52;0
2024-04-07;0;10;0;33;9
2024-04-14;9;21;8;47;9
2024-04-21;7;34;7;58;18
2024-04-28;0;29;0;68;16
2024-05-05;10;29;9;52;9
2024-05-12;0;32;13;51;18
2024-05-19;12;23;9;54;8
2024-05-26;7;23;7;47;12
2024-06-02;12;27;0;52;14
2024-06-09;11;25;11;69;7
2024-06-16;8;23;12;61;15
2024-06-23;0;25;0;46;12
2024-06-30;0;18;8;41;11
2024-07-07;0;16;0;53;8
2024-07-14;0;18;8;48;0
2024-07-21;8;27;0;59;9
2024-07-28;0;28;0;45;12
2024-08-04;13;16;0;53;10
2024-08-11;10;46;19;75;18
2024-08-18;8;29;0;58;10
2024-08-25;11;37;9;51;13
2024-09-01;11;24;9;63;8
2024-09-08;8;26;0;44;13
2024-09-15;0;26;0;41;13
2024-09-22;8;27;0;55;13
2024-09-29;10;33;9;69;11
2024-10-06;4;32;5;53;6
2024-10-13;9;33;8;51;11
2024-10-20;10;39;12;63;17
